,Vid_nr,Subtlety,Color,StartPos,Motivator,Vid_names,Iter_nr,ID
135,135,120,Gr,R,Mimic,mimic_flipped_pred_subt120_Grey_Posx_850_InvisPreyLocInd_63.webm,v0,120_Gr_R_Mimic_v0
136,136,120,Gr,R,Mimic,mimic_flipped_pred_subt120_Grey_Posx_850_InvisPreyLocInd_64.webm,v1,120_Gr_R_Mimic_v1
137,137,120,Gr,R,Mimic,mimic_flipped_pred_subt120_Grey_Posx_850_InvisPreyLocInd_65.webm,v2,120_Gr_R_Mimic_v2
138,138,150,Gr,L,Mimic,mimic_flipped_pred_subt150_Grey_Posx_350_InvisPreyLocInd_66.webm,v0,150_Gr_L_Mimic_v0
139,139,150,Gr,L,Mimic,mimic_flipped_pred_subt150_Grey_Posx_350_InvisPreyLocInd_67.webm,v1,150_Gr_L_Mimic_v1
140,140,150,Gr,L,Mimic,mimic_flipped_pred_subt150_Grey_Posx_350_InvisPreyLocInd_68.webm,v2,150_Gr_L_Mimic_v2
141,141,150,Gr,R,Mimic,mimic_flipped_pred_subt150_Grey_Posx_850_InvisPreyLocInd_69.webm,v0,150_Gr_R_Mimic_v0
142,142,150,Gr,R,Mimic,mimic_flipped_pred_subt150_Grey_Posx_850_InvisPreyLocInd_70.webm,v1,150_Gr_R_Mimic_v1
143,143,150,Gr,R,Mimic,mimic_flipped_pred_subt150_Grey_Posx_850_InvisPreyLocInd_71.webm,v2,150_Gr_R_Mimic_v2
144,144,180,Bl,L,Wander,wander_pred_Black_Posx_350_var0.webm,v0,180_Bl_L_Wander_v0
145,145,180,Bl,L,Wander,wander_pred_Black_Posx_350_var1.webm,v1,180_Bl_L_Wander_v1
146,146,180,Bl,L,Wander,wander_pred_Black_Posx_350_var2.webm,v2,180_Bl_L_Wander_v2
147,147,180,Bl,L,Wander,wander_pred_Black_Posx_350_var3.webm,v3,180_Bl_L_Wander_v3
148,148,180,Bl,L,Wander,wander_pred_Black_Posx_350_var4.webm,v4,180_Bl_L_Wander_v4
149,149,180,Bl,L,Wander,wander_pred_Black_Posx_350_var5.webm,v5,180_Bl_L_Wander_v5
150,150,180,Bl,R,Wander,wander_pred_Black_Posx_850_var0.webm,v0,180_Bl_R_Wander_v0
151,151,180,Bl,R,Wander,wander_pred_Black_Posx_850_var1.webm,v1,180_Bl_R_Wander_v1
152,152,180,Bl,R,Wander,wander_pred_Black_Posx_850_var2.webm,v2,180_Bl_R_Wander_v2
153,153,180,Bl,R,Wander,wander_pred_Black_Posx_850_var3.webm,v3,180_Bl_R_Wander_v3
154,154,180,Bl,R,Wander,wander_pred_Black_Posx_850_var4.webm,v4,180_Bl_R_Wander_v4
155,155,180,Bl,R,Wander,wander_pred_Black_Posx_850_var5.webm,v5,180_Bl_R_Wander_v5
156,156,180,Gr,L,Wander,wander_pred_Grey_Posx_350_var0.webm,v0,180_Gr_L_Wander_v0
157,157,180,Gr,L,Wander,wander_pred_Grey_Posx_350_var1.webm,v1,180_Gr_L_Wander_v1
158,158,180,Gr,L,Wander,wander_pred_Grey_Posx_350_var2.webm,v2,180_Gr_L_Wander_v2
159,159,180,Gr,L,Wander,wander_pred_Grey_Posx_350_var3.webm,v3,180_Gr_L_Wander_v3
160,160,180,Gr,L,Wander,wander_pred_Grey_Posx_350_var4.webm,v4,180_Gr_L_Wander_v4
161,161,180,Gr,L,Wander,wander_pred_Grey_Posx_350_var5.webm,v5,180_Gr_L_Wander_v5
162,162,180,Gr,R,Wander,wander_pred_Grey_Posx_850_var0.webm,v0,180_Gr_R_Wander_v0
163,163,180,Gr,R,Wander,wander_pred_Grey_Posx_850_var1.webm,v1,180_Gr_R_Wander_v1
164,164,180,Gr,R,Wander,wander_pred_Grey_Posx_850_var2.webm,v2,180_Gr_R_Wander_v2
165,165,180,Gr,R,Wander,wander_pred_Grey_Posx_850_var3.webm,v3,180_Gr_R_Wander_v3
166,166,180,Gr,R,Wander,wander_pred_Grey_Posx_850_var4.webm,v4,180_Gr_R_Wander_v4
167,167,180,Gr,R,Wander,wander_pred_Grey_Posx_850_var5.webm,v5,180_Gr_R_Wander_v5
